Author,Title,"Read? (y=yes, n=not going to, g=gave up)",Category,Read more by author?,I'm in it,Signed or Collectible,Comment
Gary Sernovitz,Great American Plain,y,,,,x,
Gary Sernovitz,The Contrarians,y,,,,x,
Gary Sernovitz,The Green and the Black,y,,,,,
Gary Shapiro,The Comeback,,,,,,
Gavin Heaton & Drew McClellan,Age of Conversation,,,,,,
Gavin Schmitt,Milwaukee Mafia (Images of America),,,,,,
Gavin Schmitt,The Milwaukee Mafia: Mobsters in the Heartland,,,,,,
Gene Wolfe,Book of The Long Sun,y,,y,,,
Gene Wolfe,Book of The New Sun,y,,,,,
Gene Wolfe,Book of the Short Sun,y,,,,,
Gene Wolfe,Latro in the Mist,y,,,,,
Gene Wolfe,Starwater Strains,y,,,,,
Gene Wolfe,The Sorcerers House,y,,,,,
General Stanley McChrystal,Team of Teams: New Rules of Engagement for a Complex World,,,,,,
Geoff Livingston,Exodus (The Fundamentalists Book 1),d,,,,,
Geoff Livingston,Now Is Gone,,,,,,
Geoff Livingston,Perseverance: Book Two of the Fundamentalists,d,,,,,
Geoff Smart,Power Score,,,,,,
Geoff Smart,Who,y,,,,,
Geoffrey Moore,Crossing the Chasm,y,,,,,
Geoffrey Moore,Living on the Fault Line,y,,,,,
George Carlin,When Will Jesus B,y,,,,,
George Carlin,When Will Jesus Bring the Pork Chops,y,,,,,
George Clinton,"Brothas Be, Yo Like George, Ain't That Funkin' Hard on You?",,,,,,
George Lankevich,American Metropolis: A History of New York City,y,,,,,
George R.R. Martin,A Clash of Kings: A Song of Ice and Fire: Book Two,y,,,,,
George R.R. Martin,A Dance with Dragons: A Song of Ice and Fire: Book Five,y,,,,,
George R.R. Martin,"A Feast for Crows: A Song of Ice and Fire: Book Four (Martin, George Rr)",y,,,,,
George R.R. Martin,A Game of Thrones: A Song of Ice and Fire: Book One,y,,,,,
George R.R. Martin,A Storm of Swords: A Song of Ice and Fire: Book Three,y,,,,,
George RR Martin,Game of Thrones Coloring Book,,,,,,
George S. Zimbel,Barcelona Catalog,y ,,,,,
George Silverman,Secrets of Word of Mouth Marketing,y,wom,,,,
George T Geis and George S Geis,Digital Deals,n,,,,,
George Takei,"Oh Myyy! - There Goes The Internet (Life, the Internet and..",,,,,,
Georgi Tsvetanov,Visual Finance: The One Page Visual Model to Understand..,,,,,,
Gerald Sindell,The Genius Machine,,,,,,
Gerard Wolfe,Chicago In And Around the Loop,,,,,,
Gerry McCusker,Talespin,,,,,,
Glen David Gold,Carter Beats the Devil,y,,,,,
Glen Merzer,Off the Reservation: A Novel,,,,,,
Glenn Manishin & Andy Sernovitz ,Complying with the CAN SPAM Act and Other Critical Business Issues,,,,x,,
Glenn Thrush,Obama's Last Stand,y,,,,,
Glenn Thrush,The End of the Line: Romney vs. Obama: the 34 days that decided the election,y ,,,,,
Gordon Bethune,From Worst to First,y,business biography,,,,
Greg Bear,Anvil of Stars,y,,y,,,
Greg Bear,Blood Music,y,,,,,
Greg Bear,Darwin's Radio,y,,,,,
Greg Bear,Eon,y ,,,,,
Greg Bear,Eternity,y,,,,,
Greg Bear,Forge of God,y,,,,,
Greg Bear,Legacy,y,,,,,
Greg Bear,Moving Mars,y,,,,,
Greg Bear,Star Wars: Rogue Planet,y,,,,,
Greg Bear,Vitals,y,,,,,
Greg Cohen,Agile Excellence for Project Managers,,,,,,
Greg Egan,Diaspora,d,,,,,
Greg Mckeown,Essentialism: The Disciplined Pursuit of Less,,,,,,
Greg Stielstra,Pyromarketing,y,wom,,,,
Guy Kawasaki,"APE: Author, Publisher, Entrepreneur—How to Publish a Book ",,,,,,
Guy Kawasaki,Enchantment,y,,,,,
Guy Kawasaki,How to Drive Your Competition Crazy,y,,,,,
Guy Kawasaki,Reality Check ,y,,,,,
Guy Kawasaki,Rules for Revolutionaries ,y,entrepreneurship,,,,
Guy Kawasaki,Selling the Dream ,y,wom,,,,
Guy Kawasaki,The Art of the Start ,y,,,,,
Guy Kawasaki,What the Plus,y,,,,,
"Guy Kawasaki, Brian Clark, Mitch Joel",Engagement from Scratch!,,,,,,
H.G. Lewis,On the Art of Writing Copy,,,,,,
H.G. Wells,The War of the Worlds,y,,,,,
H.P. Lovecraft,H.P. Lovecraft The Complete Collection,,,,,,
Hal Rosenbluth,The Customer Comes Second,,,,,,
Hans Peter Brondmo,The Engaged Customer,,,,,,
"Haque, Umair",Betterness: Economics for Humans (Kindle Single),,,,,,
Haruki Murakami,1Q84,y,,y,,,
Haruki Murakami,After Dark,y,,,,,
Haruki Murakami,After the Quake,,,,,,
Haruki Murakami,"Blind Willow, Sleeping Woman",,,,,,
Haruki Murakami,Colorless Tsukuru Tazaki and His Years of Pilgrimage,y,,,,,
Haruki Murakami,Dance Dance Dance,y,,,,,
Haruki Murakami,Hard-Boiled Wonderland and the End of the World,y,,,,,
Haruki Murakami,Kafka on the Shore,y,,,,,
Haruki Murakami,Norwegian Wood,y,,,,,
Haruki Murakami,"South of the Border, West of the Sun",,,,,,
Haruki Murakami,Sputnik Sweetheart,,,,,,
Haruki Murakami,The Elephant Vanishes,,,,,,
Haruki Murakami,Wild Sheep Chase,y,,,,,
Haruki Murakami,Wind-up Bird Chronicle,y,,,,,
Harvard Business Review,Giving and Receiving Feedback,,,,,,
Harvard Business Review,Managing Projects,y,project management,,,,
Harvard Business Review,On Coaching,,,,,,
Harvard Business Review,On Managing Uncertainty,,,,,,
Harvard Business Review,On Managing Yourself,,,,,,
Harvard Negotiation Project,Difficult Conversations,,,,,,
Harvey Mackay,Beware the Naked Man Who Offers You His Shirt,y,,,,,
Harvey Mackay,Dig Your Well Before You're Thirsty,y,,,,,
Harvey Mackay,Pushing The Envelope All The Way To The Top ,y,entrepreneurship,,,,
Harvey Mackay,Swim With the Sharks Without Being Eaten Alive,y,entrepreneurship,,,,
Henry Gee,Futures From Nature,y,,,,,
Henry Harbaugh,Power and Responsibility,y,,,,,
Herman Melville,Moby Dick,g,,,,,
Hermann Hesse,Siddhartha,y,,,,,
Hermann Hesse,Steppenwolfnull,y,,,,,
Herschel Lewis,Sales Letters That Sizzle,,,,,,
Herve Kabla & Yann Gourvennec,Les Media Sociaux Expliques a non Boss,,,,,,
Home Depot,Home Improvement 123,,,,,,
Howard Brodsky,The Unexpected,,,,,,
Howard Mann,Your Business Brickyard,y,entrepreneurship,,,,
Howard Schultz,Onward,y,,,,,
Howard Schultz,Pour Your Heart Into It,,,,,,
Hugh Howey,Dust (Silo Saga 3),,,y,,,
Hugh Howey,First Shift - Legacy,y,,,,,
Hugh Howey,Sand Omnibus,y,,,,,
Hugh Howey,Second Shift,y,,,,,
Hugh Howey,The Hurricane,d,,,,,
Hugh Howey,Third Shift,y ,,,,,
Hugh Howey,Wool Ominbus Edition (1-5),y,,,,,
Hugh MacLeod,Evil Plans,y,,,,,
Hugh MacLeod,Freedom is Blogging in Your Underwear,y,,,,,
Hugh MacLeod,Ignore Everybody,y,corporate culture,,,,
Iain M. Banks,Against A Dark Background,y,,,,,
Iain M. Banks,Consider Phlebas,y,,y,,,
Iain M. Banks,Excession,y,,,,,
Iain M. Banks,Feesym Endjinn,y,,,,,
Iain M. Banks,Inversions,y,,,,,
Iain M. Banks,Look to Windward,y,,,,,
Iain M. Banks,Matter,g,,,,,
Iain M. Banks,Surface Detail,y,,,,,
Iain M. Banks,The Algebraist,,,,,,
Iain M. Banks,The Hydrogen Sonata,y,,,,,
Iain M. Banks,The Player of Games,y,,,,,
Iain M. Banks,Transition (Culture),,,,,,
Iain M. Banks,Use of Weapons,y,,,,,
Ian I Mitroff,Why Some Companies Emerge Stronger and Better from a Crisis,n,,,,,
Ian MacDonald,The Dervish House,y,,,,,
Ian Tregillis,The Mechanical (The Alchemy Wars),,,,,,
Ideo,Thoughtful Acts,,,,,,
Iris Bahr,Dork Whore,y,,,,,
Isaac Asimov,Foundation,y ,,,,,
Isaac Asimov,Foundation and Earth,y ,,,,,
Isaac Asimov,Foundation and Empire,y ,,,,,
Isaac Asimov,Foundation's Edge,y ,,,,,
Isaac Asimov,Nightfall,y ,,,,,
Isaac Asimov,Nightfall,y,,,,,
Isaac Asimov,Robots and Empire,y ,,,,,
Isaac Asimov,Second Foundation,y ,,,,,
Isaac Asimov,The Caves of Steel,y ,,x,,,
Isaac Asimov,The Naked Sun,y ,,,,,
Isaac Asimov,The Robots of Dawn,y ,,,,,
Ivan Misner,Masters of Sales,,,,,,
Ivan Misner,Truth Or Delusion,,,,,,
J.B. Kerfoot,Broadway,,,,,,
J.D. Robb,"Naked in Death (In Death, Book 1)",,,,,,
J.K. Rowling,Harry Potter and the Chamber of Secrets,y,,x,,,
J.K. Rowling,Harry Potter and the Deathly Hallows,y,,,,,
J.K. Rowling,Harry Potter and the Goblet of Fire,y,,,,,
J.K. Rowling,Harry Potter and the Half-Blood Prince,y,,,,,
J.K. Rowling,Harry Potter and the Order of the Phoenix,y,,,,,
J.K. Rowling,Harry Potter and the Philosopher's Stone,y,,,,,
J.K. Rowling,Harry Potter and the Prisoner of Azkaban,y,,,,,
J.R.R. Tolkein,Lord of the Rings,y,,,,,
J.R.R. Tolkein,The Hobbit,y,,,,,
J.R.R. Tolkein,The Silmarillion,,,,,,
Jack Dougherty,Corporate America,y,,,,,
Jack Golsmith & Tim Wu,Who Controls the Internet,,,,x,,
Jack McDevitt,Infinity Beach,y,,,,,
Jack Stack,Great Game of Business,y,,,,,
Jack Trout,The New Positioning,y,,,,,
Jacqueline Novogratz,The Blue Sweater,,,,,,
James Altucher,Coose Yourself!,,,,,,
James Altucher,The Rich Employee,,,,,,
James Burke,The Pinball Effect,,,,,,
James Carville & Paul Begala,"Buck Up, Suck Up ",y,,,,,
James Clavell,King Rat,y,,x,,,
James Clavell,Noble House,y,,,,,
James Clavell,Shogun,y,,,,,
James Clavell,Tai-Pan,y,,,,,
James Grippando,When Darkness Falls,y,,,,,
James Howard Kuntsler,World Made By Hand,y,,,,,
James McWilliams,Just Food,y,pragmatic politics,,,,
James Patterson,Cross,y,,,,,
James Patterson,Swimsuit,y,,,,,
James Patterson,The Postcard Killers,,,,,,
James S.A. Corey,Abaddon's Gate,,,x,,,
James S.A. Corey,Caliban's War,y,,,,,
James S.A. Corey,Cibola Burn,y,,,,,
James S.A. Corey,Leviathan Wakes,y,,,,,
James S.A. Corey,Nemesis Games (The Expanse),,,,,,
James Surowiecki,Wisdom of Crowds,y,,,,,
Jamie Notter and Maddie Grant,Humanize: How People-Centric Organizations Succeed in a Social World,,,,,,
Jane Jacobs,The Death and Life of Great American Cities,,,,,,
Janet Boydell,You're Not The Person I Hired,n,,,,,
Janice Jorgensen,"Encyclopedia of Consumer Brands, vol 1, 2 and 3",,,,,,
Jaron Lanier,You are not a Gadget,,,,,,
Jason Alba,"I'm on Linked In, Now What",,,,,,
Jason Fried,Defensive Design for the Web,y,,,,,
Jason Fried,Getting Real,y,,,,,
Jason Fried,Rework,y,entrepreneurship,,,,
Jasper Fforde,The Eyre Affair,y,,,,,
Jay Baer,Hug Your Haters: How to Embrace Complaints and Keep Your..,,,,,,
Jay Conrad Levinson,Guerilla Marketing for Consultants,,,,,,
Jay Conrad Levinson,Guerilla Marketing on the Front Lines,,,,,,
Jay Heyman,All You Need is a Good Idea,,,,,,
Jay Mathews,"Work Hard, Be Nice",,,,,,
Jean-Marie Dru,Disruption,,,,,,
Jeannne Bliss,I love you more than my dog,y,customer love,,,,
Jeff Brooks,The Fundraiser's Guide to Irresistable Communications,,,,,,
Jeff Noon ,Vurt,y,,x,,,
Jeff Pressfield,Conferences That Work,,,,,,
Jeff Sutherland,Scrum: The Art of Doing Twice the Work in Half the Time,,,,,,
Jeff Sutherland,The Power of Scrum,,,,,,
Jeff VanderMeer,Acceptance,x,,,,,
Jeff VanderMeer,Annihilation,x,,,,,
Jeff VanderMeer,Authority,x,,,,,
Jeffrey Archer,"Not a Penny More, Not a  Penny Less",y,,,,,
Jeffrey Birnbaum,The Lobbyists,y,,,,,
Jeffrey Eisenberg,Waiting for Your Cat To Bark,,,,,,
Jeffrey Gitomer,Customer Satisfaction is Worthless: Customer Loyalty is Priceless,,,,,,
Jeffrey Gitomer,Little Book of Leadership,,,,,,
Jeffrey Gitomer,Little Red Book of Selling,y,marketing,,,,
Jeffrey Gitomer,Social Boom,,,,x,,
Jeffrey Hayzeltt,The Mirror Test,,,,,,
Jeffrey Rohrs,Audience,,,,,,
Jeffrey Zeldman,Designing with Web Standards,y,web,,,,
Jennifer Egan,A Visit from the Goon Squad,,,,,,
Jenny Lawson,Furiously Happy: A Funny Book About Horrible Things,,,,,,
Jenny Lawson,Let's Pretend This Never Happened,y,,,,,
Jeremy Blachman,Anonymous Lawyer,y,business humor,,,,
Jeremy Robert Johnson,Skullcrack City,,,,,,
Jerry Hirshberg,The Creative Priority,,,,,,
Jeswald Salacuse,Leading Leaders,y,,,,,
Jim Collins,Built to Last,y,,,,,
Jim Collins,Good to Great,y,,,,,
Jim Collins,"Great by Choice: Uncertainty, Chaos, and Luck--Why Some..",,,,,,
Jim Dethmer,The 15 Commitments of Conscious Leadership: A New Paradigm..,d,,,,,
Jim Kukral,Book Marketing For Kindle Authors,,,,,,
Jim Wallace,On God's Side,y,,,,,
Jim Whitehurst,The Open Organization,,,,,,
Jocelyn K. Glei,"Manage Your Day-to-Day: Build Your Routine, Find Your Focus,..",,,,,,
Jocko Willink,Extreme Ownership,,,,,,
Joe Haldeman,All My Sins Remembered,d,,,,,
Joe Haldeman,Forever War,y,,x,,,
Joe Haldeman,Worlds,d,,,,,
Joe Nelms,Formerly Fingerman: A Novel,,,,,,
"Joe Plummer, Steve Rappaport, Taddy Hall, and Robert Barocci",The Online Advertising Playbook,n,,,,,
Joe Schreiber,Star Wars: Death Troopers,y,,,,,
Joel Trammel,The CEO Tightrope,,,,,,
John Allen Paulos,A Mathematician Reads the Newspaper,,,,,,
John Battelle,The Search,y,,,,,
John Brockman,This Will Change Everything,,,,,,
John Brunner,Stand on Zanzibar,y,,x,,,
John Eliot,Overacheivement (cominc),,,,,,
John Grisham,A Time to Kill (1989),y,,x,,,
John Grisham,Gray Mountain: A Novel,,,,,,
John Grisham,Rogue Lawyer,,,,,,
John Grisham,The Appeal (2008),,,,,,
John Grisham,The Associate (2009),,,,,,
John Grisham,The Brethren (2000),y,,,,,
John Grisham,The Broker (2005),,,,,,
John Grisham,The Chamber (1994),y,,,,,
John Grisham,The Client (1993),y,,,,,
John Grisham,The Firm (1991),y,,,,,
John Grisham,The King of Torts (2003),y,,,,,
John Grisham,The Last Juror (2004),,,,,,
John Grisham,The Litigators,y,,,,,
John Grisham,The Partner (1997),y,,,,,
John Grisham,The Pelican Brief (1992),y,,,,,
John Grisham,The Racketeer,y ,,,,,
John Grisham,The Rainmaker (1995),y,,,,,
John Grisham,The Runaway Jury (1996),y,,,,,
John Grisham,The Street Lawyer (1998),y,,,,,
John Grisham,The Summons (2002),y,,,,,
John Grisham,The Testament (1999),y,,,,,
John Grisham,Theodore Boone: Kid Lawyer (2010),,,,,,
John Hodgman,That is All,y,,,,,
John Hodgman,The Areas of My Exerpertise,y,,,,,
John Jantsch,Duct Tape Marketing,,,,,,
John Jantsch,Referral Engine,,,,x,,
John Julius Norwich,Absolute Monarchs,y,,,,,
John Kador,The Managers Book of Questions,y,,,,,
John Kotter,Buy-In: Saving Your Good Idea from Getting Shot Dow,y,,,,,
John Le Carre,Tinker Tailor Soldier Spy,y,,,,,
John Lewellen,The Boy Scientist,,,,,x,
John M Fox,Marketing Playbook, ,,,,,
John Mackey & Raj Sisodia,Concious Capitalism,,,,,,
John Maeda,Redesigning Leadership,y,,,,,
John Maxwell,The 21 Indispensable Qualities of a Leader,d,,,,,
John Maxwell,The 21 Irrefutable Laws of Leadership,d,,,,,
John Moore,Tribal Knowledge,y,,,,,
John Scalzi,Fuzzy Nation,y,,,,,
John Scalzi,Old Man's War,y,,,,,
John Scalzi,Redshirts,g,,,,,
John Scalzi,The Android's Dram,y,,,,,
John Scalzi,The Ghost Brigades,y,,,,,
John Scalzi,The Last Colony,y,,,,,
John Scalzi,Zoe's Tale,y,,,,,
John Sladek,The Complete Roderick,g,,,,,
Johnny Shaw,Dove Season (A Jimmy Veeder Fiasco),,,,,,
Johnny Shaw,Floodgate,,,,,,
Johnny Shaw,Plaster City,y,,,y,,
Jon Gertner,The Idea Factory: Bell Labs and The Great Age of ...,y,,,,,
Jon Ronson,So You've Been Publicly Shamed,,,,,,
Jon Wuebben,Content Rich,,,,,,
Jonah Berger,Contagious: Why Things Catch On,,,,,,
Jonathan Fields,Uncertainty,,,,,,
Jonathan Franzen,Freedom,y,,,,,
Jonathan Franzen,The Corrections,y,,,,,
Jonathan Kellerman,Twisted,y,,,,,
Jonathan Safran Foer,Everything is Illuminated,y,,,,,
Jonathan Safran Foer,Extremely Loud and Incredibly Close,y,,,,,
Jonathan Salem Bakin,Branding Only Works on Cattle,,,,,,
Jordan Ayan,Aha!,y,creativity,,,,
Jordan Ayan,Practical Guide to Email Marketing,,,,,,
Joseph Heller,Catch-22,y,,,,,
Josh Bernoff,"Empowered: Unleash Your Employees, Energize Your Customers, and Transform Your Business",,,,,,
Joshua Ferris,The Unnamed,y,,y,,,
Joshua Ferris,Then We Came to the End,y,business humor,,,,
Joshua Long,Weird City,,,,,,
Joshua Long,Weird City,,,,,,
Joy Adams,Jokes for Kids,,,,,,
Jules Verne,The Mysterious Island,,,,,,
Jules Verne,Twenty Thousand Leagues under the Sea,y,,,,,
Julie Burstein,Spark,,,,,,
Julie Morganstern,Never Check Email In The Morning,,,,,,
Junot Diaz,The Brief Wondrous Life Of Oscar Wao,y,,,,,
Junot Diaz,This Is How You Lose Her,y ,,,,,
Justin Halpern,I Suck at Girls,,,,,,
Justin Halpern,Shit My Dad Says,y,,,,,
Justin Kirby & Paul Marsden,Connected Marketing,n,,,,,
Justina Robson,Natural History,y,,,,,
Karen Armstrong,The Case for God,,,,,,
Karen Russell,Sleep Donation,y,,,,,
Katherine Cramer,Change the Way You See Everything,,,,,,
Katherine Crowley and Kathi Elster,Working With You Is Killing Me,y,,,,,
Katleen Hall,Alter Your Life,,,,,,
Keith Yamashita and Sandra Spataro,"Unstuck: A Tool for Yourself, Your Team, and Your World",,creativity,,,,
"Kelly Allison, et. al.",Overcoming Night Eating Syndrome,,,,,,
Kelly Mooney,The Open Brand,,,,,,
Ken Blanchard,Leadership and the One Minute Manager Updated Ed: Increasing..,,,,,,
Ken Blanchard,One Minute Manager Builds High Performing Teams,y,,,,,
Ken Blanchard,The New One Minute Manager,,,,,,
Ken Blanchard,The One Minute Manager,y,,,,,
Ken Blanchard and Barbara Glanz,The Simple Truths of Service,y,,,,,
Ken Blanchard and Colleen Barrerr,Lead with LUV: A Different Way to Create Real Success,y,,,,,
Ken Blanchard and Mark Miller,The Secret,y,leadership,,,,
Ken Blanchard and Sheldon Bowles,Raving Fans,y,customer love,,,,
Ken Denmead,Geek Dad,,,,,,
Ken Kurson,The Green Magazine Guide to Personal Finance,,,,,,
Ken MacLeod,Newton's Wake: A Space Opera,,,,,,
Ken MacLeod,The Cassini Division,y,,y,,,
Ken MacLeod,The Night Sessions,y,,,,,
Ken MacLeod,The Star Fraction,y,,,,,
Ken MacLeod,The Stone Canal,y,,,,,
Kenneth Roman,The King of Madison Avenue,y,business biography,,,,
Kevin Freiberg,Nuts!,y,,,,,
Kevin Kelly,What Technology Wants,,,,,,
Kevin Lee,The Truth About Pay-Per-Click Search Advertising,,,,,,
Kevin Roberts,Sisomo: The Future On Screen,,,,,,
Kim Stanley Robinson,Blue Mars,,,,,,
Kim Stanley Robinson,Green Mars,,,,,,
Kim Stanley Robinson,Red Mars,,,y,,,
Kip Tindell,Uncontainable,,,,,,
Kip Tindell,"Uncontainable: How Passion, Commitment, and Conscious..",,,,,,
Kirk Dando,Predictive Leadership: Avoiding the 12 Critical Mistakes..,,,,,,
Kit Reed,Thinner Than Thou,y,,y,,,
Koushun Takami,Battle Royale,y,,,,,
Kristin Runyan,"Change, Inc.: An Agile Fable of Transformation",,,,,,
Kristine Kathryn Rusch,The Disappeared: A Retrieval Artist Novel,y,,,,,
Kurt Vonnegut,"Breakfast of Champions, or Goodbye Blue Monday",y,,,,,
Kurt Vonnegut,Cat's Cradle: A Novel,,,,,,
Kurt Vonnegut,Hocus Pocus,y,,,,,
Kurt Vonnegut,Man Without a Country,y,,y,,,
Kurt Vonnegut,Player Piano,y,,,,,
Kurt Vonnegut,Slaughterhouse Five,y,,,,,
Kurt Vonnegut,The Sirens of Titan,y,,,,,
Kurt Vonnegut,Timequake,y,,,,,
L. Frank Baum,The Marvelous Land of Oz,y,,,,,
L. Frank Baum,The Wonderful Wizard of Oz,y,,,,,
Larry Seldin,Killer Customers,y,,,,,
Larry Weber,Everywhere,n,,,,,
Larry Weber,The Provocateur,g,,,,,
Larry Winger,"Shut up, stop whining, and get a life (comic)",,,,,,
Laura Fitton,Twitter for Dummies,,,,,,
Le Guin,The Lathe of Heaven,,,,,,
Lee Thayer,How Executives Fail,,,,,,
Leland Harden & Bob Heyman,The Auction App,,,,,,
Lemony Snicket,"The Ominous Omnibus (A Series of Unfortunate Events, Books 1-3)",y,,,,,
Len Lewis,The Trader Joe's Adventure,y,,,,,
Leo Tolstoy,War and Peace,,,,,,
Leonard Lodish,Entrepreneurial Marketing,y,,,,,
Lester Wunderman,Being Direct,y,,,,,
Lewis Green,Lead With Your Heart,y,,,,,
Libby Sartain,Cracking the Culture Code,g,,,,,
Linda Kaplan Thaler,Bang,,,,,,
Linda Kaplan Thaler,Bang: Getting Your Message Heard in a Noisy World,y,marketing,,,,
Linda Kaplan Thaler,"Grit to Great: How Perseverance, Passion, and Pluck Take You..",,,,,,
Linda Kaplan Thaler,The Power of Nice,y,customer love,,,,
Linda Kaplan Thaler,The Power of Small,,,,,,
Linda Richardson,Sales Coaching,,,,,,
Lois Kelley,Beyond Buzz,,,,,,
Lois McMaster Bujold,Captain Vorpatril's Alliance,y,,,,,
Lois McMaster Bujold,Cordelia's Honor—Shards of Honor and Barrayar,y,,,,,
Lois McMaster Bujold,Cryoburn,Y,,,,,
Lois McMaster Bujold,Memory,Y,,,,,
Lois McMaster Bujold,"Miles Errant—The Borders of Infinity, Brothers in Arms, and Mirror Dance",y,,,,,
Lois McMaster Bujold,"Miles in Love—Komarr, A Civil Campaign, and Winterfair Gifts",y,,,,,
Lois McMaster Bujold,"Miles, Mutants and Microbes—Falling Free, Diplomatic Immunity, and Labyrinth",Y,,,,,
Lois McMaster Bujold,"Miles, Mystery, and Mayhem—Cetaganda, Ethan of Athos, and Labyrinth",y,,,,,
Lois McMaster Bujold,"Young Miles—The Warrior's Apprentice, The Mountains of Mourning, and The Vor Game",y,,,,,
Lorell Van Fossen,Blogging Tips,,,,,,
Lucy Kellaway,Who Moved My Blackberry?,y,business humor,,,,
Luke Sullivan,"Hey, Whipple, Squeeze This: A Guide to Creating Great Advertising",y,,,,,
Lynda Resnick,Rubies in the Orchard,y,business biography,,,,
Lynn Upshaw,Building Brand Identity,n,,,,,
Lynne Thorne,Word of Mouth Advertising Online and Off,,,,,,
Mac Anderson,You Can't Send a Duck to Eagle School,,,,,,
Mac Anderson,You Can't Send a Duck to Leader School,,,,,,
Madeline L'Engle,A Swiftly Tilting Planet,y,,,,,
Madeline L'Engle,A Wind in The Door,y,,,,,
Madeline L'Engle,A Wrinkle in Time,y,,,,,
Makr Hurst and Phil Terry,Customers Included,,,,,,
Malcolm Gladwell,Blink,y,,,,,
Malcolm Gladwell,David and Goliath,,,,,,
Malcolm Gladwell,Outliers,y,,,,,
Malcolm Gladwell,Tipping Point,y,wom,,,,
Marc Levinson,The Box,,,,,,
Marc Levinson,The Great A&P and the Struggle for Small Business in America,y,,,,,
Marc Maron,Attempting Normal,d,,,,,
Marc Reisner,Cadillac Desert: The American West and Its Disappearing..,,, ,,,
Marcus Buckingham,"First, Break All the Rules: What the World's Greatest..",,,,,,
Marcus Buckingham,Go Put Your Strengths To Work,,,,,,
"Marian Salzman, Ira Matathia, and Ann O'Reilly",Buzz: Harness the Power of Influence and Create Demand,,,,,,
Marie Kondo,The Life-Changing Magic of Tidying Up: The Japanese Art of..,,,,,,
Mario Salvadori,Why Buildings Fall Down,y,,,,,
Mario Salvadori,Why Buildings Stand Up,y,,,,,
Mark Allen ,Why Romney Lost the 2013 Election,y,,,,,
Mark Hughes,Buzzmarketing,y,wom,,,,
Mark Hurst,Bit Literacy,,,,,,
Mark Kurlansky,Salt: A World History,y,,,,,
Mark Kurlansky ,Cod,y,,,,,
Mark Leyner ,Tooth Imprints on a Corn Dog,,,,,,
Mark Leyner and Billy Goldberg,Why Do Men Have Nipples,y,,,,,
Mark Miller,Chess Not Checkers,,,,,,
Mark Miller,The Secret of Teams,y,,,,,
Mark Ostrofsky,Word of Mouse,n,,,,,
Mark Sanborn,Fred 2.0,,,,,,
Mark Sanborn,The Fred Factor,y,customer love,,,,
Mark Twain,Tom Sawyer,,,,,,
Mark Vamos ,Fast Company's Greatest Hits,,,,,,
Mark Van Osnabrugge and Robert J Robinson,Angel Investing,n,,,,,
Marko Kloos,Angles of Attack (Frontlines Book 3),,,,,,
Marko Kloos,Lines of Departure (Frontlines Book 2),,,,,,
Marko Kloos,Terms of Enlistment (Frontlines Book 1),,,,,,
Marshal Goldsmith,What Got You Here Won't Get You There (comic),,,,,,
Marshall Goldsmith & James Belasco,Leading Authorities on Business,,,,x,,
Marshall Goldsmith & Shane Clester,What Got You Here Won't Get You There (Comic),y,,,,,
Martin Amis,Money,,,,,,
Martin Atkins,Tour Smart,y,entrepreneurship,,,,
Martin Hintz,Jewish Milwaukee,,,,,,
Marty Kagan,Inpsired: How To Create Products Customers Love,,,,,,
Mary Roach,Packing for Mars,,,,,,
Mary Roach ,Bonk,,,,,,
Matt Beaumont,e Squared: A Novel,g,,,,,
Matt Blumberg and Michael Mayor,Sign Me Up!,,,,,,
Matt Ridley,The Rational Optimist,,,,,,
Matthew FitzSimmons,The Short Drop (The Gibson Vaughn Series),,,,,,
Matthew Mather,Cyberstorm,y,,,,,
Matthew Mather,The Complete Atopia Chronicles,y,,,,,
Matthew May,In Pursuit of Elegance,y,,,,,
Matthew Stover,Star Wars: Shatterpoint,y,,,,,
Max Barry,Company,y,business humor,x,,,
Max Barry,Jennifer Government,y,,,,,
Max Barry,Lexicon,y,,,,,
Max Barry,Machine Man,y,,,,,
Max Barry,Syrup,y,business humor,,,,
Max Bazerman,Smart Money Decisions,,,,,,
Max Braverman,The Power of Noticing,,,,,,
Max Brooks,World War Z,y,,,,,
Maz Bazerman,The Power of Noticing,,,,,,
Megan Hustad,How to be Useful,,,,,,
Michael Bishop,No Enemy But Time,y,,,,,
Michael Cafferky,Let Your Customers Do The Talking,,,,,,
Michael Chabon,The Amazing Adventures of Kavalier & Clay,y,,,,,
Michael Chabon,The Yiddish Policeman's Union,,,y,,,
Michael Crichton,Airframe,y,,,,,
Michael Crichton,Andromeda Strain,y,,,,,
Michael Crichton,Congo,y,,,,,
Michael Crichton,Disclosure,y,,,,,
Michael Crichton,Eaters of the Dead,y,,,,,
Michael Crichton,Next,y,,,,,
Michael Crichton,Prey,y,,,,,
Michael Crichton,Rising Sun,y,,,,,
Michael Crichton,Sphere,y,,,,,
Michael Crichton,State of Fear,y,,,,,
Michael Crichton,The Andromeda Strain,,,,,,
Michael Crichton,The Great Train Robbery,y,,,,,
Michael Crichton,The Terminal Man,y,,,,,
Michael Crichton,Timeline,y,,,,,
Michael Gerber,The Emyth Revisited,y,entrepreneurship,,,,
Michael Griego,42 Rules to Increase Sales Effectiveness,,,,,,
Michael Hinshaw and Bruce Kasanoff,Smart Customers Stupid Companies: Why Only Intelligent Companies Will Thrive and How to Be One of Them,,,,,,
